theme,construct,name,table_source,all years
Environment,Spatial Access to MOUDs,NaltCtTmWk,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltTmBkP,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltTmDrP,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,NaltTmWkP,county-2025,"2020,2025"
Environment,Spatial Access to MOUDs,OtpAvTmDr,county-2025,"2021,2025"
Environment,Spatial Access to MOUDs,OtpCtTmDr,county-2025,"2021,2025"
Environment,Spatial Access to MOUDs,OtpTmDrP,county-2025,"2021,2025"
Environment,Spatial Access to Mental Health Providers,MhAvTmDr,county-2025,2020
Environment,Spatial Access to Mental Health Providers,MhCtTmDr,county-2025,2020
Environment,Spatial Access to Mental Health Providers,MhTmDrP,county-2025,2020
Environment,Spatial Access to Pharmacies,RxAvTmDr,county-2025,2019
Environment,Spatial Access to Pharmacies,RxCtTmDr,county-2025,2019
Environment,Spatial Access to Pharmacies,RxTmDrP,county-2025,2019
Environment,Spatial Access to Substance Use Treatment Providers,SutpAvTmDr,county-2025,2020
Environment,Spatial Access to Substance Use Treatment Providers,SutpCtTmDr,county-2025,2020
Environment,Spatial Access to Substance Use Treatment Providers,SutpTmDrP,county-2025,2020
Environment,Spatial access to Health Centers,FqhcAvTmDr,county-2025,2020
Environment,Spatial access to Health Centers,FqhcCtTmDr,county-2025,2020
Environment,Spatial access to Health Centers,FqhcTmDrP,county-2025,2020
Environment,Spatial Access to MOUDs,HcvAvTmDr,county-2025,
Environment,Spatial Access to MOUDs,HcvCntDr,county-2025,
Environment,Spatial Access to MOUDs,HcvCtTmDr,county-2025,
Environment,Spatial Access to MOUDs,HcvTmDrP,county-2025,
Environment,Spatial Access to MOUDs,HivAvTmDr,county-2025,
Environment,Spatial Access to MOUDs,HivCtTmDr,county-2025,
Environment,Spatial Access to MOUDs,HivTmDrP,county-2025,
Environment,Spatial Access to MOUDs,TlBupAvTmBk,county-2025,
Environment,Spatial Access to MOUDs,TlBupAvTmDr,county-2025,
Environment,Spatial Access to MOUDs,TlBupAvTmWk,county-2025,
Environment,Spatial Access to MOUDs,TlBupCtTmBk30,county-2025,
Environment,Spatial Access to MOUDs,TlBupCtTmDr30,county-2025,
Environment,Spatial Access to MOUDs,TlBupCtTmDr60,county-2025,
Environment,Spatial Access to MOUDs,TlBupCtTmWk30,county-2025,
Environment,Spatial Access to MOUDs,TlBupTmBk30P,county-2025,
Environment,Spatial Access to MOUDs,TlBupTmDr30P,county-2025,
Environment,Spatial Access to MOUDs,TlBupTmDr60P,county-2025,
Environment,Spatial Access to MOUDs,TlBupTmWk30P,county-2025,
Environment,Spatial access to Health Centers,TotTracts,county-2025,"2018,2025"
Environment,Urban/Suburban/Rural Classification,CenFlags,,2010
Environment,Urban/Suburban/Rural Classification,RcaRuralP,,2018
Environment,Urban/Suburban/Rural Classification,RcaSubrbP,,2018
Environment,Urban/Suburban/Rural Classification,RcaUrbanP,,2018
Geography,Geographic Boundaries,FIPS,,"1980,1990,2000,2010,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2025"
Geography,Geographic Boundaries,HEROP_ID,,"1980,1990,2000,2010,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2025"
Outcome,Opioid Indicators,OdMortRt,,"2014,2015,2016,2017,2018,2019,2020,2021"
Outcome,Opioid Indicators,OdMortRtAv,,2020
Outcome,Opioid Indicators,OpRxRt,county-2022,"2020,2022"
Social,Community Overlay Variables,DmyBlckBlt,,2000
Social,Community Overlay Variables,DmySgrg,,2015
Social,Community Overlay Variables,PrcNtvRsrv,,2017
Social,Educational Characteristics,BachelorsP,county-2023,"1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,EduHsP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,EduNoHsP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,EngProf,county-2023,"2018,2020,2023"
Social,Educational Characteristics,GradSclP,county-2023,"1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,SomeCollegeP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Household Characteristics,CrowdHsng,county-2023,"2020,2023"
Social,Household Characteristics,DivrcdP,county-2023,"2020,2023"
Social,Household Characteristics,FamSize,county-2023,"2020,2023"
Social,Household Characteristics,HHSize,county-2023,"2020,2023"
Social,Household Characteristics,HhldFA,county-2023,"2020,2023"
Social,Household Characteristics,HhldFC,county-2023,"2020,2023"
Social,Household Characteristics,HhldFS,county-2023,"2020,2023"
Social,Household Characteristics,HhldMA,county-2023,"2020,2023"
Social,Household Characteristics,HhldMC,county-2023,"2020,2023"
Social,Household Characteristics,HhldMS,county-2023,"2020,2023"
Social,Household Characteristics,HsdTot,county-2023,"2020,2023"
Social,Household Characteristics,HsdTypCo,county-2023,"2020,2023"
Social,Household Characteristics,HsdTypM,county-2023,"2020,2023"
Social,Household Characteristics,HsdTypMC,county-2023,"2020,2023"
Social,Household Characteristics,MrrdP,county-2023,"2020,2023"
Social,Household Characteristics,NonRelFhhP,county-2023,"2018,2020,2023"
Social,Household Characteristics,NonRelNfhhP,county-2023,"2018,2020,2023"
Social,Household Characteristics,NvMrrdP,county-2023,"2020,2023"
Social,Household Characteristics,OccupantP,county-2023,"2020,2023"
Social,Household Characteristics,SepartedP,county-2023,"2020,2023"
Social,Household Characteristics,TotPopHh,county-2023,"2018,2020,2023"
Social,Household Characteristics,WidwdP,county-2023,"2020,2023"
Social,Incarceration,TtlJlAdm,,2017
Social,Incarceration,TtlJlAdmr,,2017
Social,Incarceration,TtlJlPp,,2017
Social,Incarceration,TtlJlPpr,,2017
Social,Incarceration,TtlJlPrt,,2017
Social,Incarceration,TtlJlPrtr,,2017
Social,Incarceration,TtlPrAPp,,2016
Social,Incarceration,TtlPrAPpr,,2016
Social,Incarceration,TtlPrPp,,2016
Social,Incarceration,TtlPrPpr,,2016
Social,Population with Disability,DisbP,county-2023,"2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Age15_44,,"1980,1990,2000,2010,2018"
Social,"Population, Age & Sex Ratios",Age15_44P,,"1980,1990,2000,2010,2018"
Social,"Population, Age & Sex Ratios",ChildrenP,,"1980,1990,2000,2010,2018"
Social,"Population, Age & Sex Ratios",FemP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",MaleP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",MedAge,county-2023,"2020,2023"
Social,"Population, Age & Sex Ratios",Ovr16,county-2023,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr16P,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Ovr18,county-2023,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr18P,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Ovr21,county-2023,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr21P,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Ovr62P,county-2023,"2020,2023"
Social,"Population, Age & Sex Ratios",Ovr65,county-2023,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr65P,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",SRatio,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",SRatio18,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",SRatio65,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",TotPop,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Und18P,county-2023,"2020,2023"
Social,Race & Ethnicity,AmIndE,county-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,AmIndP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,AsianE,county-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,AsianP,,"1980,1990,2000,2010,2018"
Social,Race & Ethnicity,BlackE,county-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,BlackP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,HisE,county-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,HisP,county-2023,"1980,1990,2000,2020,2023"
Social,Race & Ethnicity,HispP,,"1980,1990,2000,2010,2018"
Social,Race & Ethnicity,OtherE,county-2023,"2010,2018,2023"
Social,Race & Ethnicity,OtherP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,PacIsE,county-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,PacIsP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,TwoRaceE,county-2023,"2010,2018,2023"
Social,Race & Ethnicity,TwoRaceP,county-2023,"2010,2020,2023"
Social,Race & Ethnicity,WhiteE,county-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,WhiteP,county-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Residential Segregation Measures,DsmAs,county-2023,"2018,2023"
Social,Residential Segregation Measures,DsmBlk,county-2023,"2018,2023"
Social,Residential Segregation Measures,DsmHsp,county-2023,"2018,2023"
Social,Residential Segregation Measures,IntrAsWht,county-2023,"2018,2023"
Social,Residential Segregation Measures,IntrBlkWht,county-2023,"2018,2023"
Social,Residential Segregation Measures,IntrHspWht,county-2023,"2018,2023"
Social,Residential Segregation Measures,IsoAs,county-2023,"2018,2023"
Social,Residential Segregation Measures,IsoBlk,county-2023,"2018,2023"
Social,Residential Segregation Measures,IsoHsp,county-2023,"2018,2023"
Social,Veteran Population,TotVetPop,county-2023,"2010,2018,2020,2023"
Social,Veteran Population,VetP,county-2023,"2010,2018,2020,2023"
