theme,construct,name,table_source,all years
Environment,Spatial access to Health Centers,FqhcTmDr,,2020
Environment,Urban/Suburban/Rural Classification,Ruca1,,2010
Environment,Urban/Suburban/Rural Classification,Ruca2,,2010
Environment,Urban/Suburban/Rural Classification,Rurality,,2010
Geography,Geographic Boundaries,FIPS,,"1980,1990,2000,2010,2014,2018,2019,2020,2021,2022,2023,2025"
Geography,Geographic Boundaries,HEROP_ID,,"1980,1990,2000,2010,2014,2018,2019,2020,2021,2022,2023,2025"
Social,Educational Characteristics,BachelorsP,tract-2023,"1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,EduHsP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,EduNoHsP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,EngProf,tract-2023,"2018,2020,2023"
Social,Educational Characteristics,GradSclP,tract-2023,"1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,SomeCollegeP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Household Characteristics,CrowdHsng,tract-2023,"2020,2023"
Social,Household Characteristics,DivrcdP,tract-2023,"2020,2023"
Social,Household Characteristics,FamSize,tract-2023,"2020,2023"
Social,Household Characteristics,HHSize,tract-2023,"2020,2023"
Social,Household Characteristics,HhldFA,tract-2023,"2020,2023"
Social,Household Characteristics,HhldFC,tract-2023,"2020,2023"
Social,Household Characteristics,HhldFS,tract-2023,"2020,2023"
Social,Household Characteristics,HhldMA,tract-2023,"2020,2023"
Social,Household Characteristics,HhldMC,tract-2023,"2020,2023"
Social,Household Characteristics,HhldMS,tract-2023,"2020,2023"
Social,Household Characteristics,HsdTot,tract-2023,"2020,2023"
Social,Household Characteristics,HsdTypCo,tract-2023,"2020,2023"
Social,Household Characteristics,HsdTypM,tract-2023,"2020,2023"
Social,Household Characteristics,HsdTypMC,tract-2023,"2020,2023"
Social,Household Characteristics,MrrdP,tract-2023,"2020,2023"
Social,Household Characteristics,NonRelFhhP,tract-2023,"2018,2020,2023"
Social,Household Characteristics,NonRelNfhhP,tract-2023,"2018,2020,2023"
Social,Household Characteristics,NvMrrdP,tract-2023,"2020,2023"
Social,Household Characteristics,OccupantP,tract-2023,"2020,2023"
Social,Household Characteristics,SepartedP,tract-2023,"2020,2023"
Social,Household Characteristics,TotPopHh,tract-2023,"2018,2020,2023"
Social,Household Characteristics,WidwdP,tract-2023,"2020,2023"
Social,Population with Disability,DisbP,tract-2023,"2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Age15_44,,"1980,1990,2000,2010,2018"
Social,"Population, Age & Sex Ratios",Age15_44P,,"1980,1990,2000,2010,2018"
Social,"Population, Age & Sex Ratios",ChildrenP,,"1980,1990,2000,2018"
Social,"Population, Age & Sex Ratios",FemP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",MaleP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",MedAge,tract-2023,"2020,2023"
Social,"Population, Age & Sex Ratios",Ovr16,tract-2023,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr16P,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Ovr18,tract-2023,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr18P,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Ovr21,tract-2023,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr21P,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Ovr62P,tract-2023,"2020,2023"
Social,"Population, Age & Sex Ratios",Ovr65,tract-2023,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr65P,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",SRatio,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",SRatio18,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",SRatio65,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",TotPop,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Und18P,tract-2023,"2020,2023"
Social,Race & Ethnicity,AmIndE,tract-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,AmIndP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,AsianE,tract-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,AsianP,tract-2023,"1980,1990,2000,2010,2018"
Social,Race & Ethnicity,BlackE,tract-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,BlackP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,HisE,tract-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,HisP,tract-2023,"1990,2000,2020,2023"
Social,Race & Ethnicity,HispP,,"1980,1990,2000,2010,2018"
Social,Race & Ethnicity,OtherE,tract-2023,"2010,2018,2023"
Social,Race & Ethnicity,OtherP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,PacIsE,tract-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,PacIsP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,TwoRaceE,tract-2023,"2010,2018,2023"
Social,Race & Ethnicity,TwoRaceP,tract-2023,"2010,2020,2023"
Social,Race & Ethnicity,WhiteE,tract-2023,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,WhiteP,tract-2023,"1980,1990,2000,2010,2018,2020,2023"
Social,Veteran Population,TotVetPop,tract-2023,"2010,2018,2020,2023"
Social,Veteran Population,VetP,tract-2023,"2010,2018,2020,2023"
,,HcvCntDr,tract-2025,
,,HcvMinDis,tract-2025,
,,HcvTmDr,tract-2025,
,,HivCntDr,tract-2025,
,,HivMinDis,tract-2025,
,,HivTmDr,tract-2025,
,,TlBupCntDr30,tract-2025,
,,TlBupCntDr60,tract-2025,
,,TlBupMinDis,tract-2025,
,,TlBupTmDr,tract-2025,
