GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026,C68001,C68002,C68003,C68004,C68005,C68006,C68007,C68008,C68009,C68010,C68011,C68012,C68013,C68014,C68015,C68016,C68017,C68018,C68019,C68020,C68021,C68022,C68023,C68024,C68025,C68026,C68027,C68028,C68029,C68030,C68031,C68032,C68033,C68034,C68035,C68036,C68037,C68038,C68039,C68040,C68041,C68042,C68043,C68044,C68045,C68046,C68047,C68048,C68049,C68050,C68051,C68052
"G0100210","1980","A","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,,"05",,,,,,,,"CHILTON COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1",30612,14850,15762,26942,3633,9,0,0,6,2,6,1,4,1,0,0,0,8,30445,120,7,1,39,490,963,938,476,492,1553,2031,514,595,592,566,519,500,512,473,1484,2271,2130,3473,3129,1512,580,845,2563,1135,276,248,476,482,233,248,812,1005,247,334,308,293,251,251,252,239,746,1141,1059,1728,1514,704,273,358,1138,433,77,242,487,456,243,244,741,1026,267,261,284,273,268,249,260,234,738,1130,1071,1745,1615,808,307,487,1425,702,199
"G0100230","1980","A","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,,"07",,,,,,,,"CHOCTAW COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0",16839,8112,8727,9490,7319,7,0,0,2,1,0,4,3,0,0,0,0,13,16675,128,1,14,21,294,620,562,296,314,1000,1277,339,376,365,366,295,270,268,248,742,1134,1079,1803,1574,825,320,361,1305,657,149,133,319,305,145,158,481,653,177,200,194,187,159,124,133,113,343,558,499,902,725,385,136,164,603,262,54,161,301,257,151,156,519,624,162,176,171,179,136,146,135,135,399,576,580,901,849,440,184,197,702,395,95
"G0100250","1980","A","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,,"07",,,,,,,,"CLARKE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",27702,13359,14343,15806,11827,42,0,0,3,0,4,2,4,0,3,0,0,11,27395,266,1,5,35,489,974,965,485,500,1596,2108,539,596,607,629,494,469,482,417,1266,2006,1748,2918,2511,1145,491,712,2166,1043,346,259,494,496,229,259,817,1070,276,299,294,318,244,237,238,199,623,988,842,1406,1227,506,215,316,975,422,110,230,480,469,256,241,779,1038,263,297,313,311,250,232,244,218,643,1018,906,1512,1284,639,276,396,1191,621,236
"G0100270","1980","A","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,,"04",,,,,,,,"CLAY COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0",13703,6623,7080,11424,2268,4,0,0,1,0,0,0,3,0,0,0,0,3,13609,64,7,7,16,214,426,370,232,222,694,947,247,292,266,260,238,248,216,193,585,872,927,1500,1370,629,274,403,1287,631,160,102,232,199,118,113,367,489,120,143,137,140,111,118,112,94,271,424,460,742,649,302,116,184,566,255,59,112,194,171,114,109,327,458,127,149,129,120,127,130,104,99,314,448,467,758,721,327,158,219,721,376,101
"G0100290","1980","A","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,,"04",,,,,,,,"CLEBURNE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",12595,6183,6412,11925,647,4,0,0,5,0,6,1,0,0,0,0,0,7,12524,39,1,0,31,182,360,359,191,197,647,850,231,247,263,228,235,188,199,174,628,884,911,1509,1322,585,264,348,974,493,126,96,192,185,93,105,342,450,121,121,130,122,117,96,117,95,295,441,437,763,634,285,119,160,416,209,42,86,168,174,98,92,305,400,110,126,133,106,118,92,82,79,333,443,474,746,688,300,145,188,558,284,84
"G0100310","1980","A","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,,"09",,,,,,,,"COFFEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",38533,18780,19753,31636,6532,63,4,0,30,4,8,87,10,26,4,0,0,129,38184,192,40,12,105,598,1052,1121,569,600,1978,2530,737,758,769,787,708,645,576,591,1858,2911,3112,4597,4047,1934,750,926,2726,1305,348,310,581,553,298,312,1040,1326,398,391,423,403,357,309,267,288,925,1423,1548,2203,1977,901,363,425,1177,480,102,288,471,568,271,288,938,1204,339,367,346,384,351,336,309,303,933,1488,1564,2394,2070,1033,387,501,1549,825,246
"G0100330","1980","A","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,,"01",,,,,,,,"COLBERT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",54519,26246,28273,45209,9146,68,0,0,3,5,6,3,38,5,3,0,0,33,54239,148,4,4,124,819,1495,1495,736,746,2639,3607,995,1061,1085,1149,976,995,851,871,2775,4241,3952,6409,5867,2992,1105,1545,3847,1780,486,402,773,748,366,366,1369,1865,525,548,566,602,483,450,432,388,1374,2045,1949,3060,2821,1390,510,731,1630,715,138,417,722,747,370,380,1270,1742,470,513,519,547,493,545,419,483,1401,2196,2003,3349,3046,1602,595,814,2217,1065,348
"G0100350","1980","A","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,,"09",,,,,,,,"CONECUH COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",15884,7562,8322,9311,6534,26,0,0,2,1,1,1,0,0,6,0,0,2,15689,152,9,6,28,305,542,467,241,264,821,1093,305,336,340,293,317,273,282,230,739,1115,953,1421,1492,757,295,482,1516,772,233,146,255,246,114,140,427,537,171,170,171,151,165,130,131,112,375,559,450,717,684,348,108,226,650,304,75,159,287,221,127,124,394,556,134,166,169,142,152,143,151,118,364,556,503,704,808,409,187,256,866,468,158
"G0100370","1980","A","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,,"04",,,,,,,,"COOSA COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0",11377,5568,5809,7411,3950,8,0,0,0,0,0,0,0,0,1,0,0,7,11264,102,1,1,9,179,303,309,177,180,618,783,251,230,219,214,185,177,196,186,524,805,679,1144,1257,593,261,347,983,472,105,87,143,174,84,76,312,416,123,129,102,114,103,85,99,98,276,409,330,564,589,300,119,146,453,200,37,92,160,135,93,104,306,367,128,101,117,100,82,92,97,88,248,396,349,580,668,293,142,201,530,272,68
"G0100390","1980","A","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,,"09",,,,,,,,"COVINGTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",36850,17423,19427,31918,4835,35,0,0,7,2,1,10,19,4,0,1,0,18,36592,168,3,9,78,542,979,951,468,492,1678,2257,622,659,682,659,661,637,514,527,1606,2355,2360,3960,3957,2161,909,1229,3777,1735,473,283,502,454,245,269,858,1133,283,335,361,383,349,347,267,260,796,1148,1132,1892,1864,1012,371,537,1542,620,180,259,477,497,223,223,820,1124,339,324,321,276,312,290,247,267,810,1207,1228,2068,2093,1149,538,692,2235,1115,293
"G0100410","1980","A","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,,"09",,,,,,,,"CRENSHAW COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",14110,6709,7401,10372,3693,25,0,0,0,0,0,1,6,0,1,3,0,9,13982,74,4,19,31,214,417,432,188,226,725,896,251,281,236,275,246,219,236,196,600,898,917,1359,1385,785,322,448,1453,688,217,111,223,234,95,120,369,442,136,153,122,141,133,113,119,101,304,405,439,665,664,338,151,196,632,227,76,103,194,198,93,106,356,454,115,128,114,134,113,106,117,95,296,493,478,694,721,447,171,252,821,461,141
"G0100430","1980","A","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,,"02",,,,,,,,"CULLMAN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",61642,30045,31597,60928,528,69,2,0,7,10,4,10,14,21,10,0,3,36,61332,182,20,4,104,889,1674,1750,964,906,2980,4114,1091,1195,1197,1178,1052,1024,993,958,2891,4384,4450,7217,6658,3295,1329,1673,4955,2227,598,458,826,876,496,456,1480,2159,565,622,628,601,540,516,540,469,1466,2150,2193,3505,3242,1518,650,772,2215,897,205,431,848,874,468,450,1500,1955,526,573,569,577,512,508,453,489,1425,2234,2257,3712,3416,1777,679,901,2740,1330,393
"G0100450","1980","A","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,,"09",,,,,,,,"DALE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",47821,24812,23009,38744,7828,197,1,0,113,8,49,227,21,48,27,27,11,520,46748,444,270,31,328,931,1670,1646,784,858,2550,3003,771,762,857,871,1026,1173,1187,1188,3687,4726,4026,5071,4024,1813,591,849,2312,1144,301,454,863,846,406,448,1336,1533,376,387,443,464,595,727,715,720,2148,2576,2183,2514,2009,879,294,401,996,417,82,477,807,800,378,410,1214,1470,395,375,414,407,431,446,472,468,1539,2150,1843,2557,2015,934,297,448,1316,727,219
"G0100470","1980","A","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,,"06",,,,,,,,"DALLAS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",53981,25101,28880,24205,29488,37,0,0,3,1,2,8,19,0,18,0,0,200,53387,381,7,20,186,927,1858,1858,980,967,3039,4059,1117,1216,1215,1276,1086,1101,949,847,2703,3845,3494,5260,4907,2426,891,1281,4084,1982,613,455,947,959,490,438,1574,2056,570,608,636,644,552,537,481,393,1239,1760,1623,2428,2172,1036,429,573,1641,701,159,472,911,899,490,529,1465,2003,547,608,579,632,534,564,468,454,1464,2085,1871,2832,2735,1390,462,708,2443,1281,454
"G0100490","1980","A","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,,"02",,,,,,,,"DE KALB COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",53658,25991,27667,52538,939,90,0,0,4,2,10,3,17,2,6,0,0,47,53377,189,10,2,80,876,1505,1542,832,854,2715,3640,897,943,971,934,924,852,862,835,2535,3905,3906,6116,5554,2724,1045,1492,4550,2129,520,447,759,796,457,460,1403,1853,465,465,508,463,459,434,397,428,1282,1940,1906,2977,2736,1246,501,680,1939,819,171,429,746,746,375,394,1312,1787,432,478,463,471,465,418,465,407,1253,1965,2000,3139,2818,1478,544,812,2611,1310,349
"G0100510","1980","A","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,,"05",,,,,,,,"ELMORE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",43390,21407,21983,33585,9655,28,0,1,17,8,9,7,8,5,4,0,0,63,43044,261,3,14,68,671,1216,1281,713,633,2284,3040,810,829,897,813,758,746,722,684,2250,3456,3283,5043,4289,2130,820,1083,3063,1437,439,349,649,638,367,309,1182,1501,405,434,454,411,392,441,386,335,1185,1775,1629,2532,2102,1023,399,493,1351,535,130,322,567,643,346,324,1102,1539,405,395,443,402,366,305,336,349,1065,1681,1654,2511,2187,1107,421,590,1712,902,309
"G0100530","1980","A","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,,"08",,,,,,,,"ESCAMBIA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",38440,19057,19383,26056,11376,951,0,0,4,3,3,5,6,2,9,1,0,24,38160,178,6,11,85,623,1159,1246,584,646,2103,2512,707,763,791,786,728,678,629,634,1856,2987,2834,4364,3740,1771,706,933,2914,1360,386,314,581,641,305,340,1068,1306,381,391,414,396,354,333,345,311,1017,1622,1528,2222,1781,834,337,389,1233,497,117,309,578,605,279,306,1035,1206,326,372,377,390,374,345,284,323,839,1365,1306,2142,1959,937,369,544,1681,863,269
"G0100550","1980","A","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,,"03",,,,,,,,"ETOWAH COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",103057,49214,53843,88806,13809,121,2,0,48,14,11,25,35,16,5,0,0,165,102534,327,24,9,163,1559,2941,2891,1505,1590,5046,6778,1746,1900,1799,1788,1790,1715,1635,1636,5025,7817,7443,11230,10883,5857,2332,3047,8522,3705,877,795,1497,1469,768,782,2655,3457,902,997,934,919,903,863,810,784,2431,3839,3668,5425,5042,2685,1036,1352,3609,1341,251,764,1444,1422,737,808,2391,3321,844,903,865,869,887,852,825,852,2594,3978,3775,5805,5841,3172,1296,1695,4913,2364,626
"G0100570","1980","A","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,,"05",,,,,,,,"FAYETTE COUNTY","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1",18809,9068,9741,16378,2396,7,0,0,1,5,1,2,4,2,2,0,0,11,18694,71,0,5,39,279,551,593,271,274,940,1228,337,322,343,347,330,323,326,245,862,1335,1283,2124,1870,967,388,549,1748,771,203,154,302,271,128,136,457,613,178,150,187,178,177,166,163,117,420,678,642,1039,900,452,186,238,771,312,53,125,249,322,143,138,483,615,159,172,156,169,153,157,163,128,442,657,641,1085,970,515,202,311,977,459,150
"G0100590","1980","A","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,,"05",,,,,,,,"FRANKLIN COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",28350,13740,14610,26991,1301,22,0,0,2,0,17,1,8,0,0,0,0,8,28167,116,2,9,56,438,805,762,399,432,1341,1795,505,501,513,515,452,488,455,436,1341,2073,1982,3345,3047,1448,560,832,2419,1177,289,241,436,381,215,235,713,896,268,254,259,254,231,254,239,236,680,996,960,1652,1485,677,242,355,1048,432,101,197,369,381,184,197,628,899,237,247,254,261,221,234,216,200,661,1077,1022,1693,1562,771,318,477,1371,745,188
"G0100610","1980","A","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,,"09",,,,,,,,"GENEVA COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",24253,11750,12503,21019,3082,100,0,0,3,0,0,2,5,1,1,0,2,38,24043,140,13,5,52,366,672,701,353,389,1239,1687,424,441,456,469,404,397,378,344,1060,1644,1626,2695,2467,1257,512,742,2274,1023,233,195,337,333,181,210,617,885,239,242,236,249,200,207,194,156,529,810,831,1260,1208,600,250,332,986,390,73,171,335,368,172,179,622,802,185,199,220,220,204,190,184,188,531,834,795,1435,1259,657,262,410,1288,633,160
"G0100630","1980","A","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,,"06",,,,,,,,"GREENE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",11021,5079,5942,2405,8596,2,0,0,4,0,0,0,0,0,1,0,0,13,10846,147,0,1,27,231,395,374,210,204,613,871,244,250,256,280,232,201,182,172,501,764,552,878,942,419,190,270,1100,538,152,124,205,174,103,113,313,413,137,132,123,140,111,101,83,65,240,373,229,388,431,180,73,120,454,218,36,107,190,200,107,91,300,458,107,118,133,140,121,100,99,107,261,391,323,490,511,239,117,150,646,320,116
"G0100650","1980","A","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,,"06",,,,,,,,"HALE COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0",15604,7361,8243,5774,9799,10,7,0,3,0,3,0,0,0,6,0,0,2,15296,232,3,21,52,330,547,571,248,262,835,1123,323,353,371,387,321,309,266,251,712,1016,863,1301,1338,738,334,387,1401,775,242,173,268,292,128,134,437,593,169,184,195,183,162,166,128,119,317,467,424,607,591,330,142,172,592,311,77,157,279,279,120,128,398,530,154,169,176,204,159,143,138,132,395,549,439,694,747,408,192,215,809,464,165
"G0100670","1980","A","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,,"09",,,,,,,,"HENRY COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",15302,7242,8060,9473,5799,24,0,0,0,0,0,2,2,0,0,0,0,2,15166,118,1,1,16,239,465,518,245,263,837,1054,268,249,286,269,270,242,212,225,647,1167,1051,1576,1459,815,310,441,1422,627,145,118,240,248,132,135,404,553,132,115,140,128,130,132,101,103,304,548,555,765,662,386,129,188,612,234,48,121,225,270,113,128,433,501,136,134,146,141,140,110,111,122,343,619,496,811,797,429,181,253,810,393,97
"G0100690","1980","A","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,,"09",,,,,,,,"HOUSTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",74632,35792,38840,57402,16611,233,1,0,51,25,2,18,28,157,0,0,0,104,74054,287,42,43,206,1298,2440,2302,1253,1158,3986,5098,1350,1421,1438,1418,1283,1246,1225,1216,3739,6160,5788,8817,7737,3460,1304,1810,4940,2167,578,625,1261,1154,627,626,2100,2629,680,728,736,704,653,567,578,543,1801,2930,2842,4251,3744,1613,606,819,2093,706,176,673,1179,1148,626,532,1886,2469,670,693,702,714,630,679,647,673,1938,3230,2946,4566,3993,1847,698,991,2847,1461,402
"G0100710","1980","A","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,,"02",,,,,,,,"JACKSON COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",51407,25138,26269,48990,2150,188,1,0,9,5,2,3,21,0,2,0,0,36,51067,235,5,4,96,808,1618,1623,872,821,2745,3590,863,1018,908,954,887,896,852,793,2629,4264,4136,6390,5154,2273,895,1231,3363,1486,338,430,795,802,444,414,1388,1850,455,483,468,490,454,442,455,392,1293,2123,2040,3210,2511,1076,406,539,1488,599,91,378,823,821,428,407,1357,1740,408,535,440,464,433,454,397,401,1336,2141,2096,3180,2643,1197,489,692,1875,887,247
