theme,construct,name,pick,all years
Outcome,Hepatitis C Rates,AvO75HcvD,2017,"2017,2022"
Outcome,Hepatitis C Rates,AvU50HcvD,2017,"2017,2022"
Outcome,Hepatitis C Rates,AvWhHcvD,,2022
Outcome,Hepatitis C Rates,BlkHcv,2017,2017
Outcome,Hepatitis C Rates,BlkHcvD,2019,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,FlHcvD,2019,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,FmHcv,2017,2017
Outcome,Hepatitis C Rates,HcvD,2019,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,HspHcvD,2019,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,MlHcv,2017,2017
Outcome,Hepatitis C Rates,MlHcvD,2019,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,MulHcvD,2019,"2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,NhPiHcvD,2019,"2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,NonBlkHcv,2017,2017
Outcome,Hepatitis C Rates,O75HcvD,2019,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,Ov75Hcv,2017,2017
Outcome,Hepatitis C Rates,TotHcv,2017,2017
Outcome,Hepatitis C Rates,U50HcvD,2019,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022"
Outcome,Hepatitis C Rates,Un50Hcv,2017,2017
Outcome,Hepatitis C Rates,WhtHcvD,2019,"2018,2019,2020,2021,2022"
Outcome,Opioid Indicators,OdMortRt,2019,"2014,2015,2016,2017,2018,2019,2020,2021,2022"
Outcome,Opioid Indicators,OdMortRtAv,,2020
Outcome,Opioid Indicators,OpRxRt,,"2020,2022"
Outcome,Opioid Indicators,PrMsuseP,,"2020,2022"
Policy,Harm Reduction Policies,AnyGslDt,2019,"2017,2019,2020,2021"
Policy,Harm Reduction Policies,AnyGslFr,2019,"2017,2019,2020,2021"
Policy,Harm Reduction Policies,AnyNalxDt,2019,"2017,2018,2019,2020,2021,2022"
Policy,Harm Reduction Policies,AnyNalxFr,2019,"2017,2018,2019,2020,2021,2022"
Policy,Harm Reduction Policies,ExpSsp,2019,2019
Policy,Harm Reduction Policies,GslArrDt,2019,"2017,2019,2020,2021"
Policy,Harm Reduction Policies,GslArrFr,2019,"2017,2019,2020,2021"
Policy,Harm Reduction Policies,NalxPrStDt,2019,"2017,2018,2019,2020,2021,2022"
Policy,Harm Reduction Policies,NalxPrStFr,2019,"2017,2018,2019,2020,2021,2022"
Policy,Harm Reduction Policies,NalxPresDt,2019,"2017,2018,2019,2020,2021,2022"
Policy,Harm Reduction Policies,NalxPresFr,2019,"2017,2018,2019,2020,2021,2022"
Policy,Harm Reduction Policies,NoLwRmUnc,2019,2019
Policy,Harm Reduction Policies,NoPrphLw,2019,2019
Policy,Harm Reduction Policies,NtPrFrDsSy,2019,2019
Policy,Harm Reduction Policies,PrExcInj,2019,2019
Policy,Harm Reduction Policies,PrNtRefInj,2019,2019
Policy,Marijuana Policies,MdMarijLaw,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,Prescription Drug Monitoring Programs (PDMP),AnyPdmpDt,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,Prescription Drug Monitoring Programs (PDMP),AnyPdmpFr,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,Prescription Drug Monitoring Programs (PDMP),AnyPdmphDt,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,Prescription Drug Monitoring Programs (PDMP),AnyPdmphFr,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,Prescription Drug Monitoring Programs (PDMP),ElcPdmpDt,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,Prescription Drug Monitoring Programs (PDMP),ElcPdmpFr,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,Prescription Drug Monitoring Programs (PDMP),MsAcPdmpDt,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,Prescription Drug Monitoring Programs (PDMP),MsAcPdmpFr,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,Prescription Drug Monitoring Programs (PDMP),OpPdmpDt,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,Prescription Drug Monitoring Programs (PDMP),OpPdmpFr,2019,"2017,2018,2019,2020,2021,2022,2023"
Policy,State & Local Government Expenditures,CrrctExp,2019,"2019,2020,2021,2022"
Policy,State & Local Government Expenditures,ExpnFedExp,2018,"2018,2023"
Policy,State & Local Government Expenditures,ExpnSttExp,2018,"2018,2023"
Policy,State & Local Government Expenditures,HlthExp,2019,"2019,2020,2021,2022"
Policy,State & Local Government Expenditures,MedcdExp,2019,"2018,2019,2023"
Policy,State & Local Government Expenditures,PlcFyrExp,2019,"2019,2020,2021,2022"
Policy,State & Local Government Expenditures,TradFedExp,2018,"2018,2023"
Policy,State & Local Government Expenditures,TradSttExp,2018,"2018,2023"
Policy,State & Local Government Expenditures,WlfrExp,2019,"2019,2020,2021,2022"
Social,Educational Characteristics,BachelorsP,2018,"1990,2000,2010,2018,2023"
Social,Educational Characteristics,EduHsP,2018,"1980,1990,2000,2010,2018,2023"
Social,Educational Characteristics,EduNoHsP,2018,"1980,1990,2000,2010,2018,2023"
Social,Educational Characteristics,EngProf,2018,"2018,2023"
Social,Educational Characteristics,GradSclP,2018,"1990,2000,2010,2018,2023"
Social,Educational Characteristics,SomeCollegeP,2018,"1980,1990,2000,2010,2018,2023"
Social,Household Characteristics,NonRelFhhP,2018,2018
Social,Household Characteristics,NonRelNfhhP,2018,2018
Social,Household Characteristics,TotPopHh,2018,2018
Social,Population with Disability,DisbP,2018,"2000,2010,2018"
Social,"Population, Age & Sex Ratios",Age15_44,2018,"1980,1990,2000,2010,2018"
Social,"Population, Age & Sex Ratios",Age15_44P,2018,"1980,1990,2000,2010,2018"
Social,"Population, Age & Sex Ratios",ChildrenP,2018,"1980,1990,2000,2018"
Social,"Population, Age & Sex Ratios",FemP,2018,"1980,1990,2000,2010,2018,2023"
Social,"Population, Age & Sex Ratios",MaleP,2018,"1980,1990,2000,2010,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr16,2018,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr16P,2018,"1980,1990,2000,2010,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr18,2018,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr18P,2018,"1980,1990,2000,2010,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr21,2018,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr21P,2018,"1980,1990,2000,2010,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr65,2018,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr65P,2018,"1980,1990,2000,2010,2018,2023"
Social,"Population, Age & Sex Ratios",SRatio,2018,"1980,1990,2000,2010,2018,2023"
Social,"Population, Age & Sex Ratios",SRatio18,2018,"1980,1990,2000,2010,2018,2023"
Social,"Population, Age & Sex Ratios",SRatio65,2018,"1980,1990,2000,2010,2018,2023"
Social,"Population, Age & Sex Ratios",TotPop,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,AmIndE,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,AmIndP,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,AsianE,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,AsianP,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,BlackE,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,BlackP,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,HisE,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,HisP,2018,"1980,1990,2000,2018,2023"
Social,Race & Ethnicity,HispP,2018,"1980,1990,2000,2010,2018"
Social,Race & Ethnicity,OtherE,2018,"2010,2018,2023"
Social,Race & Ethnicity,OtherP,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,PacIsE,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,PacIsP,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,TwoRaceE,2018,"2010,2018,2023"
Social,Race & Ethnicity,TwoRaceP,2018,"2010,2018,2023"
Social,Race & Ethnicity,WhiteE,2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,WhiteP,2018,"1980,1990,2000,2010,2018,2023"
Social,Residential Segregation Measures,DsmAs,2018,"2018,2023"
Social,Residential Segregation Measures,DsmBlk,2018,"2018,2023"
Social,Residential Segregation Measures,DsmHsp,2018,"2018,2023"
Social,Residential Segregation Measures,IntrAsWht,2018,"2018,2023"
Social,Residential Segregation Measures,IntrBlkWht,2018,"2018,2023"
Social,Residential Segregation Measures,IntrHspWht,2018,"2018,2023"
Social,Residential Segregation Measures,IsoAs,2018,"2018,2023"
Social,Residential Segregation Measures,IsoBlk,2018,"2018,2023"
Social,Residential Segregation Measures,IsoHsp,2018,"2018,2023"
Social,Veteran Population,TotVetPop,2018,"2010,2018"
Social,Veteran Population,VetP,2018,"2010,2018"
