theme,construct,proxy,metadata,url
Environment,Healthcare Provider Access,"Primary Care and Specialty Physician Density (Total, Per Capita Density)",Healthcare_Provider_Access,https://github.com/healthyregions/oeps/blob/main/metadata/Healthcare_Provider_Access.md
Environment,Spatial Access to Substance Use Treatment Providers,"Spatial access metrics to Substance Use Treatment Providers (Distance, Travel Time, Count Within Threshold)",Access_SubstanceUseTreatment,https://github.com/healthyregions/oeps/blob/main/metadata/Access_SubstanceUseTreatment.md
Environment,Spatial Access to Hospitals,"Spatial access metrics to Hospitals (Distance, Travel Time, Count Within Threshold)",Access_Hospitals,https://github.com/healthyregions/oeps/blob/main/metadata/Access_Hospitals.md
Environment,Housing Characteristics ,"Housing Characteristics (Occupancy Rate, Vacancy Rate, Rented Rate, Long term Occupancy, Mobile Home Rate, Housing Unit Density)",Housing_Variables,https://github.com/healthyregions/oeps/blob/main/metadata/Housing_Variables.md
Environment,Greenspace Measures,Normalized Difference Vegetation Index (NDVI),Greenspace_Measures,https://github.com/healthyregions/oeps/blob/main/metadata/Greenspace_Measures.md
Environment,Spatial access to Health Centers,"Spatial access metrics to Federally Qualified Health Centers (Distance, Travel Time, Count Within Threshold)",Access_FQHCs,https://github.com/healthyregions/oeps/blob/main/metadata/Access_FQHCs.md
Environment,Alcohol Outlet Density Measures,"Alcohol outlet density measures (geographic density, per capita density, total)",Alcohol_Outlet_Density,https://github.com/healthyregions/oeps/blob/main/metadata/Alcohol_Outlet_Density.md
Environment,Spatial Access to MOUDs,"Spatial access metrics to Medications for Opioid Use Disorder(MOUD) including Methadone, Buprenorphine, Naltrexone, and Opioid Treatment Providers (Distance, Travel Time, Count Within Threshold, RAAM Access Score)",Access_MOUDs,https://github.com/healthyregions/oeps/blob/main/metadata/Access_MOUDs.md
Environment,Spatial access to HCV Testing,"Spatial access metrics to testing for hepatitis C virus (HCV) infections (Straight-line Distance, Driving Time, Count of Resources)",Access_HCVTesting,https://github.com/healthyregions/oeps/blob/main/metadata/Access_HCVTesting.md
Environment,Spatial Access to HIV Testing,"Spatial access metrics to testing for human immunodeficiency virus (HIV)(Distance, Travel Time, Count Within Threshold)",Access_HIVTesting,https://github.com/healthyregions/oeps/blob/main/metadata/Access_HIVTesting.md
Environment,Spatial Access to Mental Health Providers,"Spatial access metrics to Mental Health Providers (Distance, Travel Time, Count Within Threshold)",Access_Mental_Health,https://github.com/healthyregions/oeps/blob/main/metadata/Access_Mental_Health.md
Environment,Spatial Access to Pharmacies,"Spatial access metrics to Pharmacies (Distance, Travel Time, Count Within Threshold)",Access_Pharmacies,https://github.com/healthyregions/oeps/blob/main/metadata/Access_Pharmacies.md
Economic,Great Recession Foreclosure Rate,"Great Recession Foreclosure or Delinquency Measures (Count, Rate)",Foreclosure_Rate,https://github.com/healthyregions/oeps/blob/main/metadata/Foreclosure_Rate.md
Economic,Employment Trends,"Count of Working Population, Employed % - Education, Employed % - High Risk of Injury, Employed % - Health Care, Employed % - Retail, The number of unemployed individuals as a percentage of the civilian labor force",Job_Categories_byIndustry_2018,https://github.com/healthyregions/oeps/blob/main/metadata/Job_Categories_byIndustry_2018.md
Economic,State & Local Government Expenditures,"Expenditure amounts for corrections, police, fire, and other services, by state",PublicExpenditures,https://github.com/healthyregions/oeps/blob/main/metadata/PublicExpenditures.md
Economic,Internet Access,Households without Internet Access %,Internet_Access,https://github.com/healthyregions/oeps/blob/main/metadata/Internet_Access.md
Economic,Essential Workers,"Count of Essential Workers, Essential Workers %",Job_Categories_byOccupation_2018,https://github.com/healthyregions/oeps/blob/main/metadata/Job_Categories_byOccupation_2018.md
Economic,Economic Characteristics,"Employment, poverty, income, and income inequality (Gini Coefficient)",Economic,https://github.com/healthyregions/oeps/blob/main/metadata/Economic.md
Policy,Naloxone Access Laws,Presence of laws around naloxone access by state,Naloxone,https://github.com/healthyregions/oeps/blob/main/metadata/Naloxone.md
Policy,Syringe & Paraphernalia Laws,"Syringe Service Program (SSP) Authorization Laws, Drug Paraphernalia Laws, Distribution of Syringes Laws, Paraphernalia exludes objects used for injecting drugs, Paraphernalia does not refer to objects used for injecting drugs, Laws removing barriers to SSPs",Syringe,https://github.com/healthyregions/oeps/blob/main/metadata/Syringe.md
Policy,Medical Marijuana Laws,Laws authorizing medical marijuana use,MedMarijLaw,https://github.com/healthyregions/oeps/blob/main/metadata/MedMarijLaw.md
Policy,Prescription Drug Monitoring Programs (PDMP),Presence of PDMP programs by state,PDMP,https://github.com/healthyregions/oeps/blob/main/metadata/PDMP.md
Policy,Medicaid Expenditure,Medicaid spending,MedExp,https://github.com/healthyregions/oeps/blob/main/metadata/MedExp.md
Policy,Prison Incarceration Rates,"Total Prison Population Rate, Total Prison Admission Rate, Total Prison Population Count, Prison Prison Admissions Count",Prison_Variables,https://github.com/healthyregions/oeps/blob/main/metadata/Prison_Variables.md
Policy,Jail Incarceration Rates,"Total Jail Population Rate, Total jail admission rate, Pretrial Jail Population Rate, Total Jail Population Count & more",Jail_Variables,https://github.com/healthyregions/oeps/blob/main/metadata/Jail_Variables.md
Policy,Good Samaritan Laws,"Good Samaritan Laws (Date, Fraction of Year Enacted)",Good_Samaritan_Laws,https://github.com/healthyregions/oeps/blob/main/metadata/Good_Samaritan_Laws.md
Outcome,Opioid Indicators,"Opioid Prescription Rates, Opioid Mortality Rates, Prescription Pain Medication Misuse",OpioidIndicators,https://github.com/healthyregions/oeps/blob/main/metadata/OpioidIndicators.md
Outcome,Hepatitis C Rates,Rates of Hep C cases by age and demographics,HepC,https://github.com/healthyregions/oeps/blob/main/metadata/HepC.md
Composite,SDOH Indices & Typology,"Social Determinants of Health (SDOH) Multivariate Measures (Indices, Neighborhood Typology)",SDOH_Indices,https://github.com/healthyregions/oeps/blob/main/metadata/SDOHIndices.md
Composite,Social Vulnerability Indices,Social Vulnerability Indices,Social_Vulnerability_Indices,https://github.com/healthyregions/oeps/blob/main/metadata/SVI.md
