theme,construct,name,table_source,all years
Environment,Spatial Access to Hospitals,HospMinDis,tract-2020,2020
Environment,Spatial Access to Hospitals,HospTmDr,tract-2020,2020
Environment,Spatial Access to MOUDs,BupCntBk30,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,BupCntBk60,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,BupCntDr30,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,BupCntDr60,,2025
Environment,Spatial Access to MOUDs,BupCntWk30,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,BupCntWk60,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,BupMinDis,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,BupRm30,tract-2020,2020
Environment,Spatial Access to MOUDs,BupRm60,tract-2020,2020
Environment,Spatial Access to MOUDs,BupRm90,tract-2020,2020
Environment,Spatial Access to MOUDs,BupTmBk,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,BupTmDr,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,BupTmWk,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,MetCntBk30,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,MetCntBk60,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,MetCntDr30,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,MetCntDr60,,2025
Environment,Spatial Access to MOUDs,MetCntWk30,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,MetCntWk60,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,MetMinDis,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,MetRm30,tract-2020,"1980,1990,2000,2010,2020"
Environment,Spatial Access to MOUDs,MetRm60,tract-2020,"1980,1990,2000,2010,2020"
Environment,Spatial Access to MOUDs,MetRm90,tract-2020,"1980,1990,2000,2010,2020"
Environment,Spatial Access to MOUDs,MetTmBk,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,MetTmDr,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,MetTmWk,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,MoudMinDis,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,NaltCntBk30,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,NaltCntBk60,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,NaltCntDr30,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,NaltCntDr60,,2025
Environment,Spatial Access to MOUDs,NaltCntWk30,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,NaltCntWk60,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,NaltMinDis,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,NaltRm30,tract-2020,2020
Environment,Spatial Access to MOUDs,NaltRm60,tract-2020,2020
Environment,Spatial Access to MOUDs,NaltRm90,tract-2020,2020
Environment,Spatial Access to MOUDs,NaltTmBk,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,NaltTmDr,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,NaltTmWk,tract-2020,"2020,2025"
Environment,Spatial Access to MOUDs,OtpCntDr,tract-2021,"2021,2025"
Environment,Spatial Access to MOUDs,OtpMinDis,tract-2021,"2021,2025"
Environment,Spatial Access to MOUDs,OtpTmDr,tract-2021,"2021,2025"
Environment,Spatial Access to Mental Health Providers,MhCntDr,tract-2020,2020
Environment,Spatial Access to Mental Health Providers,MhMinDis,tract-2020,2020
Environment,Spatial Access to Mental Health Providers,MhTmDr,tract-2020,2020
Environment,Spatial Access to Pharmacies,RxCntDr,tract-2019,2019
Environment,Spatial Access to Pharmacies,RxMinDis,tract-2019,2019
Environment,Spatial Access to Pharmacies,RxTmDr,tract-2019,2019
Environment,Spatial Access to Substance Use Treatment Providers,SutCntDr,tract-2020,2020
Environment,Spatial Access to Substance Use Treatment Providers,SutMinDis,tract-2020,2020
Environment,Spatial Access to Substance Use Treatment Providers,SutTmDr,tract-2020,2020
Environment,Spatial access to Health Centers,FqhcCntDr,tract-2020,2020
Environment,Spatial access to Health Centers,FqhcMinDis,tract-2020,2020
Environment,Spatial access to Health Centers,FqhcTmDr,tract-2020,2020
Environment,Urban/Suburban/Rural Classification,Ruca1,tract-ruca-2010,2010
Environment,Urban/Suburban/Rural Classification,Ruca2,tract-ruca-2010,2010
Environment,Urban/Suburban/Rural Classification,Rurality,tract-ruca-2010,2010
Geography,Geographic Boundaries,FIPS,,"1980,1990,2000,2010,2014,2018,2019,2020,2021,2022,2023,2025"
Geography,Geographic Boundaries,HEROP_ID,,"1980,1990,2000,2010,2014,2018,2019,2020,2021,2022,2023,2025"
Social,Educational Characteristics,BachelorsP,tract-2018,"1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,EduHsP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,EduNoHsP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,EngProf,tract-2018,"2018,2020,2023"
Social,Educational Characteristics,GradSclP,tract-2018,"1990,2000,2010,2018,2020,2023"
Social,Educational Characteristics,SomeCollegeP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,Household Characteristics,CrowdHsng,tract-2020,"2020,2023"
Social,Household Characteristics,DivrcdP,tract-2020,"2020,2023"
Social,Household Characteristics,FamSize,tract-2020,"2020,2023"
Social,Household Characteristics,HHSize,tract-2020,"2020,2023"
Social,Household Characteristics,HhldFA,tract-2020,"2020,2023"
Social,Household Characteristics,HhldFC,tract-2020,"2020,2023"
Social,Household Characteristics,HhldFS,tract-2020,"2020,2023"
Social,Household Characteristics,HhldMA,tract-2020,"2020,2023"
Social,Household Characteristics,HhldMC,tract-2020,"2020,2023"
Social,Household Characteristics,HhldMS,tract-2020,"2020,2023"
Social,Household Characteristics,HsdTot,tract-2020,"2020,2023"
Social,Household Characteristics,HsdTypCo,tract-2020,"2020,2023"
Social,Household Characteristics,HsdTypM,tract-2020,"2020,2023"
Social,Household Characteristics,HsdTypMC,tract-2020,"2020,2023"
Social,Household Characteristics,MrrdP,tract-2020,"2020,2023"
Social,Household Characteristics,NonRelFhhP,tract-2018,"2018,2020,2023"
Social,Household Characteristics,NonRelNfhhP,tract-2018,"2018,2020,2023"
Social,Household Characteristics,NvMrrdP,tract-2020,"2020,2023"
Social,Household Characteristics,OccupantP,tract-2020,"2020,2023"
Social,Household Characteristics,SepartedP,tract-2020,"2020,2023"
Social,Household Characteristics,TotPopHh,tract-2018,"2018,2020,2023"
Social,Household Characteristics,WidwdP,tract-2020,"2020,2023"
Social,Population with Disability,DisbP,tract-2018,"2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Age15_44,tract-2018,"1980,1990,2000,2010,2018"
Social,"Population, Age & Sex Ratios",Age15_44P,tract-2018,"1980,1990,2000,2010,2018"
Social,"Population, Age & Sex Ratios",ChildrenP,tract-2018,"1980,1990,2000,2018"
Social,"Population, Age & Sex Ratios",FemP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",MaleP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",MedAge,tract-2020,"2020,2023"
Social,"Population, Age & Sex Ratios",Ovr16,tract-2018,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr16P,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Ovr18,tract-2018,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr18P,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Ovr21,tract-2018,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr21P,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Ovr62P,tract-2020,"2020,2023"
Social,"Population, Age & Sex Ratios",Ovr65,tract-2018,"1980,1990,2000,2018,2023"
Social,"Population, Age & Sex Ratios",Ovr65P,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",SRatio,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",SRatio18,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",SRatio65,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",TotPop,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,"Population, Age & Sex Ratios",Und18P,tract-2020,"2020,2023"
Social,Race & Ethnicity,AmIndE,tract-2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,AmIndP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,AsianE,tract-2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,AsianP,tract-2018,"1980,1990,2000,2010,2018"
Social,Race & Ethnicity,BlackE,tract-2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,BlackP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,HisE,tract-2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,HisP,tract-2020,"1990,2000,2020,2023"
Social,Race & Ethnicity,HispP,tract-2018,"1980,1990,2000,2010,2018"
Social,Race & Ethnicity,OtherE,tract-2018,"2010,2018,2023"
Social,Race & Ethnicity,OtherP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,PacIsE,tract-2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,PacIsP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,Race & Ethnicity,TwoRaceE,tract-2018,"2010,2018,2023"
Social,Race & Ethnicity,TwoRaceP,tract-2020,"2010,2020,2023"
Social,Race & Ethnicity,WhiteE,tract-2018,"1980,1990,2000,2010,2018,2023"
Social,Race & Ethnicity,WhiteP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Social,Veteran Population,TotVetPop,tract-2018,"2010,2018,2020,2023"
Social,Veteran Population,VetP,tract-2018,"2010,2018,2020,2023"
