theme,construct,name,table_source
Outcome,Hepatitis C Rates,TotHcv,
Outcome,Hepatitis C Rates,U50HcvD,
Outcome,Hepatitis C Rates,Un50Hcv,
Outcome,Hepatitis C Rates,WhtHcvD,
Outcome,Opioid Indicators,OdMortRt,
Outcome,Opioid Indicators,OdMortRtAv,state-2020
Outcome,Opioid Indicators,OpRxRt,state-2020
Outcome,Opioid Indicators,PrMsuseP,state-2020
Policy,Harm Reduction Policies,AnyGslDt,state-2019
Policy,Harm Reduction Policies,AnyGslFr,state-2019
Policy,Harm Reduction Policies,AnyNalxDt,state-2019
Policy,Harm Reduction Policies,AnyNalxFr,state-2019
Policy,Harm Reduction Policies,ExpSsp,state-2019
Policy,Harm Reduction Policies,GslArrDt,state-2019
Policy,Harm Reduction Policies,GslArrFr,state-2019
Policy,Harm Reduction Policies,NalxPrStDt,state-2019
Policy,Harm Reduction Policies,NalxPrStFr,state-2019
Policy,Harm Reduction Policies,NalxPresDt,state-2019
Policy,Harm Reduction Policies,NalxPresFr,state-2019
Policy,Harm Reduction Policies,NoLwRmUnc,state-2019
Policy,Harm Reduction Policies,NoPrphLw,state-2019
Policy,Harm Reduction Policies,NtPrFrDsSy,state-2019
Policy,Harm Reduction Policies,PrExcInj,state-2019
Policy,Harm Reduction Policies,PrNtRefInj,state-2019
Policy,Marijuana Policies,MdMarijLaw,state-2019
Policy,Prescription Drug Monitoring Programs (PDMP),AnyPdmpDt,state-2019
Policy,Prescription Drug Monitoring Programs (PDMP),AnyPdmpFr,state-2019
Policy,Prescription Drug Monitoring Programs (PDMP),AnyPdmphDt,state-2019
Policy,Prescription Drug Monitoring Programs (PDMP),AnyPdmphFr,state-2019
Policy,Prescription Drug Monitoring Programs (PDMP),ElcPdmpDt,state-2019
Policy,Prescription Drug Monitoring Programs (PDMP),ElcPdmpFr,state-2019
Policy,Prescription Drug Monitoring Programs (PDMP),MsAcPdmpDt,state-2019
Policy,Prescription Drug Monitoring Programs (PDMP),MsAcPdmpFr,state-2019
Policy,Prescription Drug Monitoring Programs (PDMP),OpPdmpDt,state-2019
Policy,Prescription Drug Monitoring Programs (PDMP),OpPdmpFr,state-2019
Policy,State & Local Government Expenditures,CrrctExp,state-2019
Policy,State & Local Government Expenditures,ExpnFedExp,state-2018
Policy,State & Local Government Expenditures,ExpnSttExp,state-2018
Policy,State & Local Government Expenditures,HlthExp,state-2019
Policy,State & Local Government Expenditures,MedcdExp,state-2018
Policy,State & Local Government Expenditures,PlcFyrExp,state-2019
Policy,State & Local Government Expenditures,TradFedExp,state-2018
Policy,State & Local Government Expenditures,TradSttExp,state-2018
Policy,State & Local Government Expenditures,WlfrExp,state-2019
Social,Educational Characteristics,BachelorsP,state-2018
Social,Educational Characteristics,EduHsP,state-2018
Social,Educational Characteristics,EduNoHsP,state-2018
Social,Educational Characteristics,EngProf,state-2018
Social,Educational Characteristics,GradSclP,state-2018
Social,Educational Characteristics,SomeCollegeP,state-2018
Social,Household Characteristics,NonRelFhhP,state-2018
Social,Household Characteristics,NonRelNfhhP,state-2018
Social,Household Characteristics,TotPopHh,state-2018
Social,Population with Disability,DisbP,state-2018
Social,"Population, Age & Sex Ratios",Age15_44,state-2018
Social,"Population, Age & Sex Ratios",Age15_44P,state-2018
Social,"Population, Age & Sex Ratios",ChildrenP,state-2018
Social,"Population, Age & Sex Ratios",FemP,state-2018
Social,"Population, Age & Sex Ratios",MaleP,state-2018
Social,"Population, Age & Sex Ratios",Ovr16,state-2018
Social,"Population, Age & Sex Ratios",Ovr16P,state-2018
Social,"Population, Age & Sex Ratios",Ovr18,state-2018
Social,"Population, Age & Sex Ratios",Ovr18P,state-2018
Social,"Population, Age & Sex Ratios",Ovr21,state-2018
Social,"Population, Age & Sex Ratios",Ovr21P,state-2018
Social,"Population, Age & Sex Ratios",Ovr65,state-2018
Social,"Population, Age & Sex Ratios",Ovr65P,state-2018
Social,"Population, Age & Sex Ratios",SRatio,state-2018
Social,"Population, Age & Sex Ratios",SRatio18,state-2018
Social,"Population, Age & Sex Ratios",SRatio65,state-2018
Social,"Population, Age & Sex Ratios",TotPop,state-2018
Social,Race & Ethnicity,AmIndE,state-2018
Social,Race & Ethnicity,AmIndP,state-2018
Social,Race & Ethnicity,AsianE,state-2018
Social,Race & Ethnicity,AsianP,state-2018
Social,Race & Ethnicity,BlackE,state-2018
Social,Race & Ethnicity,BlackP,state-2018
Social,Race & Ethnicity,HisE,state-2018
Social,Race & Ethnicity,HisP,state-2018
Social,Race & Ethnicity,HispP,state-2018
Social,Race & Ethnicity,OtherE,state-2018
Social,Race & Ethnicity,OtherP,state-2018
Social,Race & Ethnicity,PacIsE,state-2018
Social,Race & Ethnicity,PacIsP,state-2018
Social,Race & Ethnicity,TwoRaceE,state-2018
Social,Race & Ethnicity,TwoRaceP,state-2018
Social,Race & Ethnicity,WhiteE,state-2018
Social,Race & Ethnicity,WhiteP,state-2018
Social,Residential Segregation Measures,DsmAs,state-2018
Social,Residential Segregation Measures,DsmBlk,state-2018
Social,Residential Segregation Measures,DsmHsp,state-2018
Social,Residential Segregation Measures,IntrAsWht,state-2018
Social,Residential Segregation Measures,IntrBlkWht,state-2018
Social,Residential Segregation Measures,IntrHspWht,state-2018
Social,Residential Segregation Measures,IsoAs,state-2018
Social,Residential Segregation Measures,IsoBlk,state-2018
Social,Residential Segregation Measures,IsoHsp,state-2018
Social,Veteran Population,TotVetPop,state-2018
Social,Veteran Population,VetP,state-2018
